"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V333619",3186,"V333619_L3462_1_P.jpg","merged","L3462",TRUE,3186.5,4996.578,488.0704,0,0,0,0,0,0,1,91.1957,0,9,0,17,0,4,144,0,NA,NA,0,161.7567,316.2847,NA,213.8411,745.4639,NA,252.05,535.2,17472.807,17500
"V333620",3188,"V333620_L3464_1_P.jpg","merged","L3464",TRUE,3188,NA,365.8118,0,0,0,0,0,0,1,74.0945,0,0,0,0,0,6,78.0577,0,NA,NA,0,NA,NA,NA,NA,802.7117,0,656.6,130.65,4372.304,4500
"V333621",3189,"V333621_L3465_1_P.jpg","merged","L3465",TRUE,3189,NA,654.4567,0,0,0,0,0,0,1,150.3064,0,12,12,17,13,5,242.157,0,NA,NA,0,203.8431,NA,NA,NA,795.3666,NA,149.95,637.3,20779.102,21000
"V333624",3190,"V333624_L3468_1_P.jpg","merged","L3468",TRUE,3190,3802.4182,503.5484,0,0,0,0,0,0,1,114.5426,0,0,8,16,13,5,180,0,NA,NA,0,239.7332,583.8493,583.5615,150.7846,765.4646,NA,216.85,570.4,18612.686,18750
"V333625",3191,"V333625_L3469_1_P.jpg","merged","L3469",TRUE,3191,3337.652,409.2088,0,0,0,0,0,0,1,104.0096,0,9,0,17,12,4,105,0,NA,NA,0,337.0831,343.0641,549.4261,114.9826,762.4546,NA,513.1,274.15,9019.251,9250
"V333626",3192,"V333626_L3470_1_P.jpg","merged","L3470",TRUE,3192,NA,469.624,1,108.706,0,0,0,0,0,0,0,0,0,0,17,5,111.6468,0,NA,NA,0,193.145,555.8507,447.7946,NA,657.3218,NA,641.25,146,4869.382,5000
"V333627",3193,"V333627_L3471_1_P.jpg","merged","L3471",TRUE,3193,NA,398.0948,0,0,0,0,0,0,1,75.4718,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,444.2882,475.3946,82.0731,801.768,0,642.65,144.6,4824.046,5000
"V333628",3194,"V333628_L3472_1_C.jpg","merged","L3472",TRUE,3194,NA,608.1641,0,0,0,0,0,0,1,87.8237,0,9,0,0,0,NA,141.8908,0,NA,NA,0,235.5525,542.1042,483.3725,142.9021,648.4443,NA,641.05,146.2,4875.859,5000
"V333631",3195,"V333631_L3475_1_P.jpg","merged","L3475",TRUE,3195,3744.3077,428.6361,0,0,0,0,0,0,1,130.292,0,10,8,18,11,4,226.2742,0,NA,NA,0,182.8223,392.2448,456.228,152.3155,764.0105,NA,148.25,639,20834.153,21000
"V333632",3196,"V333632_L3476_1_P.jpg","merged","L3476",TRUE,3196,NA,490.9039,0,0,0,0,0,0,1,135.665,0,10,8,18,0,2,NA,0,NA,NA,0,NA,NA,NA,NA,711.057,0,NA,NA,NA,NA
"V333634",3197,"V333634_L3478_1_P.jpg","merged","L3478",TRUE,3197,4302.9237,530.8711,0,0,0,1,283.5207,0,1,115.1694,0,8,8,18,13,6,128.9961,2,373.9733,NA,0,867.6958,672.0119,565.9258,138.1593,752.0957,NA,513.9,273.35,8993.345,9000
"V333635",3198,"V333635_L3479_1_P.jpg","merged","L3479",TRUE,3198,NA,576.6621,0,0,0,1,272.2646,0,1,144.4991,0,0,0,0,0,4,128,0,NA,NA,0,NA,602.9925,646.5787,NA,766.1018,0,218.45,568.8,18560.873,18750
"V333637",3199,"V333637_L3481_1_P.jpg","merged","L3481",TRUE,3199,NA,78.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,572.6308,371.9032,162.3607,757.9261,0,257.2,530.05,17306.035,17500
"V333639",3200,"V333639_L3483_1_P.jpg","merged","L3483",TRUE,3200,3351.9238,376.9477,0,0,0,0,0,0,1,117.1537,0,7,0,17,12,5,108.1665,2,291.0464,NA,0,413.9783,461.6492,363.2478,132.3065,764.8529,NA,514.1,273.15,8986.868,9000
"V333641",3201,"V333641_L3485_1_P.jpg","merged","L3485",TRUE,3201,2847.174,324.0382,0,0,0,0,0,0,1,NA,0,0,0,0,0,3,132,0,NA,NA,0,NA,406.0542,369.3887,88.3629,779.333,0,683.35,103.9,3506.062,3750
"V333643",3202,"V333643_L3487_1_P.jpg","merged","L3487",TRUE,3202,4555.6207,530.7603,0,0,0,1,317.2381,0,1,134.1641,0,9,7,17,13,5,181.1077,0,NA,NA,0,258.2402,433.3682,NA,NA,776.2577,NA,249.85,537.4,17544.05,17750
"V333646",3203,"V333646_L3490_1_P.jpg","merged","L3490",TRUE,3203,3390.2602,NA,0,0,0,0,0,0,1,59.397,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,523.79,304.245,96.0469,703.4408,0,640.75,146.5,4885.573,5000
"V333647",3204,"V333647_L3491_1_P.jpg","merged","L3491",TRUE,3204,1471.3581,187.0937,0,0,0,0,0,0,1,42.9365,0,0,0,18,14,3,72.111,0,NA,NA,0,NA,120.5688,168.8076,38.6666,782.2032,0,143.05,644.2,21002.544,21250
"V333648",3205,"V333648_L3492_1_P.jpg","merged","L3492",TRUE,3205,1787.7024,220.3102,0,0,0,0,0,0,1,52.345,0,0,0,15,13,4,52.1536,0,NA,NA,0,NA,239.7082,234.8872,76.9675,792.0404,0,143.55,643.7,20986.352,21000
"V333651",3206,"V333651_L3495_1_P.jpg","merged","L3495",TRUE,3206.5,4471.3504,572.3713,0,0,0,0,0,0,1,48.1664,0,0,0,18,11,5,178.8854,0,NA,NA,0,NA,606.2343,597.0059,93.0376,758.6514,0,660.3,126.95,4252.488,4500
"V333654",3208,"V333654_L3498_1_P.jpg","merged","L3498",TRUE,3208.5,3952.9736,533.9318,1,61.6117,0,1,127.9062,0,1,79.6241,0,0,8,17,0,0,NA,2,NA,NA,0,756.2433,NA,NA,140.5133,688.1046,0,512.2,275.05,9048.395,9250
"V333655",3210,"V333655_L3499_1_P.jpg","merged","L3499",TRUE,3210,NA,517.2045,0,0,0,0,0,0,1,NA,0,0,0,0,12,NA,NA,0,NA,NA,0,NA,NA,NA,NA,774.3546,0,218.45,568.8,18560.873,18750
"V333656",3211,"V333656_L3500_1_P.jpg","merged","L3500",TRUE,3211.5,NA,NA,0,0,0,0,0,0,1,41.23105,0,0,0,0,0,5,112.641,0,NA,NA,0,188.0425,582.3264,NA,152.0526,703.022,0,218.95,568.3,18544.681,18750
"V333659",3213,"V333659_L3503_1_P.jpg","merged","L3503",TRUE,3213,4248.3126,527.2525,0,0,0,0,0,0,1,100.3195,0,7,6,16,13,6,122.3765,0,NA,NA,0,NA,309.8903,490.2408,169.9412,775.7629,0,685.85,101.4,3425.105,3500
