"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0781",376.15,411.1,13454.089,13500
"L0782",388.15,399.1,13065.494,13250
"L0783",369.65,417.6,13664.578,13750
"L0784",387.25,400,13094.639,13250
"L0785",545.6,241.65,7966.807,8000
"L0786",370.65,416.6,13632.195,13750
"L0787",371.15,416.1,13616.004,13750
"L0788",525.1,262.15,8630.656,8750
"L0789",NA,NA,NA,NA
"L0790",NA,NA,NA,NA
"L0791",NA,NA,NA,NA
"L0793",NA,NA,NA,NA
"L0794",NA,NA,NA,NA
"L0795",NA,NA,NA,NA
"L0796",NA,NA,NA,NA
"L0797",NA,NA,NA,NA
"L0798",NA,NA,NA,NA
"L0799",NA,NA,NA,NA
"L0800",NA,NA,NA,NA
"L0801",NA,NA,NA,NA
"L0802",NA,NA,NA,NA
"L0803",NA,NA,NA,NA
"L0804",NA,NA,NA,NA
"L0805",NA,NA,NA,NA
"L0806",NA,NA,NA,NA
"L0807",NA,NA,NA,NA
"L0808",NA,NA,NA,NA
"L0809",NA,NA,NA,NA
"L0810",NA,NA,NA,NA
"L0811",NA,NA,NA,NA
"L0812",NA,NA,NA,NA
"L0813",NA,NA,NA,NA
"L0814",NA,NA,NA,NA
"L0816",NA,NA,NA,NA
"L0817",NA,NA,NA,NA
"L0818",NA,NA,NA,NA
"L0820",NA,NA,NA,NA
"L0821",NA,NA,NA,NA
"L0823",NA,NA,NA,NA
"L0825",NA,NA,NA,NA
"L0826",NA,419.4,13722.87,13750
"L0827",NA,NA,NA,NA
"L0828",NA,NA,NA,NA
"L0829",NA,NA,NA,NA
"L0830",NA,NA,NA,NA
"L0831",NA,NA,NA,NA
"L0832",NA,NA,NA,NA
"L0833",NA,NA,NA,NA
"L0836",NA,NA,NA,NA
"L0837",NA,NA,NA,NA
"L0838",NA,NA,NA,NA
"L0839",NA,NA,NA,NA
"L0840",NA,NA,NA,NA
"L0841",NA,NA,NA,NA
"L0842",NA,NA,NA,NA
"L0843",NA,NA,NA,NA
"L0844",368.45,418.8,13703.438,13750
"L0845",387.95,399.3,13071.971,13250
"L0846",388.05,399.2,13068.733,13250
"L0847",549.1,238.15,7853.466,8000
"L0848",387.75,399.5,13078.448,13250
"L0849",530.4,256.85,8459.027,8500
"L0850",332.6,454.65,14864.365,15000
"L0851",530.4,256.85,8459.027,8500
"L0852",530.4,256.85,8459.027,8500
"L0853",550.3,236.95,7814.607,8000
"L0854",550.7,236.55,7801.654,8000
"L0855",530.4,256.85,8459.027,8500
"L0856",392.2,395.05,12934.344,13000
"L0857",473.7,313.55,10295.137,10500
"L0858",530.9,256.35,8442.835,8500
"L0859",369.45,417.8,13671.055,13750
"L0860",369.25,418,13677.531,13750
"L0861",390.35,396.9,12994.252,13000
"L0862",548.8,238.45,7863.181,8000
"L0863",435.6,351.65,11528.926,11750
"L0864",436.6,350.65,11496.543,11500
"L0865",532.7,254.55,8384.546,8500
"L0866",553,234.25,7727.173,7750
"L0867",375.25,412,13483.234,13500
"L0868",391.3,395.95,12963.488,13000
"L0869",532.7,254.55,8384.546,8500
"L0870",436.1,351.15,11512.734,11750
"L0871",476.8,310.45,10194.75,10250
"L0872",388.35,398.9,13059.018,13250
"L0873",553,234.25,7727.173,7750
"L0874",532.7,254.55,8384.546,8500
"L0875",550.2,237.05,7817.845,8000
"L0876",532.7,254.55,8384.546,8500
"L0877",387.55,399.7,13084.924,13250
"L0878",532.7,254.55,8384.546,8500
"L0879",370.75,416.5,13628.957,13750
"L0880",370.35,416.9,13641.91,13750
"L0881",550.6,236.65,7804.892,8000
"L0882",477.6,309.65,10168.844,10250
"L0883",385.25,402,13159.405,13250
"L0884",551.4,235.85,7778.986,8000
"L0885",371.15,416.1,13616.004,13750
"L0886",385.85,401.4,13139.975,13250
"L0887",368.85,418.4,13690.484,13750
"L0888",385.65,401.6,13146.452,13250
"L0889",386.95,400.3,13104.354,13250
"L0890",374.05,413.2,13522.093,13750
"L0891",368.95,418.3,13687.246,13750
"L0892",368.45,418.8,13703.438,13750
"L0893",494.7,292.55,9615.096,9750
"L0894",555.4,231.85,7649.454,7750
